lead_id,sessions_count,page_views_count,time_on_site_sec,viewed_pricing,downloaded_pdf,requested_budget,company_size,deal_won
1,1,2,35,0,0,15000,3,0
2,1,3,50,0,0,20000,5,0
3,2,4,90,0,0,25000,7,0
4,2,5,120,0,0,30000,10,0
5,3,6,180,1,0,45000,12,0
6,3,7,220,1,0,50000,15,0
7,4,8,260,1,1,70000,18,1
8,4,9,320,1,0,85000,20,1
9,5,10,400,1,1,100000,25,1
10,5,12,480,1,1,130000,30,1
11,1,2,40,0,0,10000,2,0
12,2,3,75,0,0,22000,6,0
13,2,4,110,0,0,28000,8,0
14,3,5,160,0,0,35000,10,0
15,3,6,210,1,0,42000,14,0
16,4,8,290,1,1,78000,19,1
17,4,9,350,1,1,92000,22,1
18,5,11,430,1,1,120000,28,1
19,5,13,520,1,1,150000,35,1
20,6,15,650,1,1,200000,50,1
21,1,1,25,0,0,12000,2,0
22,1,2,45,0,0,18000,4,0
23,2,3,80,0,0,24000,5,0
24,2,5,130,0,0,32000,9,0
25,3,6,170,1,0,40000,11,0
26,3,7,240,1,0,52000,13,0
27,4,8,300,1,1,76000,17,1
28,4,10,360,1,1,95000,23,1
29,5,12,470,1,1,125000,29,1
30,6,14,620,1,1,180000,45,1
31,1,2,30,0,0,14000,3,0
32,2,4,95,0,0,26000,6,0
33,2,5,125,0,0,31000,8,0
34,3,6,190,1,0,47000,12,0
35,3,7,230,1,0,55000,14,0
36,4,9,310,1,1,80000,18,1
37,4,10,370,1,1,98000,24,1
38,5,11,450,1,1,118000,27,1
39,5,13,540,1,1,145000,34,1
40,6,16,700,1,1,220000,60,1
